slug,category,brand_name,url
beardbrand-men-s-gr-2,Men's Grooming,Beardbrand,https://www.beardbrand.com
beast-health,Kitchen Tools,Beast Health,https://thebeast.com
beast-health-small-ki-2,Small Kitchen Appliances,Beast Health,https://thebeast.com
beauty-of-joseon,Skincare,Beauty of Joseon,https://beautyofjoseon.com
because,Elderly Care,Because,https://becausemarket.com
beekeeper-s-naturals,OTC/Wellness,Beekeeper's Naturals,https://beekeepersnaturals.com
beginagain,Wooden,BeginAgain,https://beginagaintoys.com
being-frenshe,Bath/Shower,Being Frenshe,https://www.beingfrenshe.com
believe-diapers,Baby Care,Believe Diapers,https://believediapers.com
belkin,Docking stations/hubs,Belkin,https://www.belkin.com
bellroy,Laptop Bags,Bellroy,https://bellroy.com
bellroy-work,Desk Accessories & Organizers,Bellroy (Work),https://bellroy.com/products/category/accessories
bellzi,Plush,Bellzi,https://bellzi.com
benchmark-scientific,Lab Equipment & Supplies,Benchmark Scientific,https://www.benchmarkscientific.com
benq,Monitors,BenQ,https://www.benq.com
bernell-hydraulics,Hydraulics & Pneumatics,Bernell Hydraulics,https://www.bernellhydraulics.com
bethesda-gear,AAA Publisher Store,Bethesda Gear,https://gear.bethesda.net
better-life,Cleaning Supplies,Better Life,https://cleanhappens.com
better-world-books,Used/Rare Bookseller,Better World Books,https://www.betterworldbooks.com
betterway,Paper Goods,Betterway,https://betterwaypaper.com
bevel,Men's Grooming,Bevel,https://getbevel.com
bezier-games,Board Games,Bezier Games,https://beziergames.com
bfi-shop,Movies & TV,BFI Shop,https://shop.bfi.org.uk
biblio,Used/Rare Bookseller,Biblio,https://www.biblio.com
big-agnes,Camping & Hiking Gear,Big Agnes,https://www.bigagnes.com
big-green-egg,Grills/BBQ,Big Green Egg,https://www.biggreenegg.com
bigjigs-toys,Wooden,Bigjigs Toys,https://www.bigjigstoys.com
bigscreen-beyond,VR Hardware,Bigscreen Beyond,https://www.bigscreenvr.com
billie,Body Care,Billie,https://mybillie.com
bio-kleen,Cleaning Supplies,Bio-Kleen,https://biokleenhome.com
bio-rad-laboratories,Lab Equipment & Supplies,Bio-Rad Laboratories,https://www.bio-rad.com
bio-techne,Chemistry & Biology Supplies,Bio-Techne,https://www.bio-techne.com
biolite,Camping & Hiking Gear,BioLite,https://www.bioliteenergy.com
biolite-cell-pho-2,Cell Phones & Accessories,BioLite,https://www.bioliteenergy.com
bippy,Body Care,Bippy,https://heybippy.com
birmingham-pen-co,Pens & Writing,Birmingham Pen Co.,https://www.birminghampens.com
bisley,Office Storage & Filing,Bisley,https://www.bisley.com
bissell,Vacuums,Bissell,https://www.bissell.com
bite,Oral Care,Bite,https://bitestep.com
black-crows,Winter Sports,Black Crows,https://www.blackcrows.com
blackstone,Grills/BBQ,Blackstone,https://www.blackstoneproducts.com
blackwing,Pens & Writing,Blackwing,https://blackwing602.com
blendtec,Small Kitchen Appliances,Blendtec,https://www.blendtec.com
blizzard-gear,AAA Publisher Store,Blizzard Gear,https://gear.blizzard.com
blomberg,Washers/Dryers,Blomberg,https://www.blombergappliances.com
bloom-nutrition,Vitamins & Supplements,Bloom Nutrition,https://bloomnu.com
bloomscape,Seeds/plants nurseries,Bloomscape,https://bloomscape.com
blu-atlas,Men's Health,Blu Atlas,https://bluatlas.com
blue-kazoo,Puzzles,Blue Kazoo,https://bluekazoo.com
blue-note-shop,Record Label with Shop,Blue Note Shop,https://www.bluenote.com
blue-orange-games,Board Games,Blue Orange Games,https://www.blueorangegames.com
blue-underground,Movies & TV,Blue Underground,https://blue-underground.com
blueair,Air Purifiers,Blueair,https://www.blueair.com
blueland,Bath,Blueland,https://www.blueland.com
blueland-cleaning-2,Cleaning Supplies,Blueland,https://blueland.com
blueridge,HVAC/Portable AC/Heaters,BlueRidge,https://www.blueridgeair.com
bluestar,Ranges/Cooktops/Ovens,BlueStar,https://www.bluestarcooking.com
bluestockings,Specialty Bookstore,Bluestockings,https://www.bluestockings.com
bodyguardz,Cell Phones & Accessories,BodyGuardz,https://www.bodyguardz.com
boiron,OTC/Wellness,Boiron,https://boironusa.com
boka,Oral Care,Boka,https://www.boka.com
boll-and-branch,Bedding,Boll & Branch,https://www.bollandbranch.com
boltsandnuts-com,Industrial Fasteners,BoltsandNuts.com,https://www.boltsandnuts.com
bond-manufacturing,Fire pits/outdoor heaters,Bond Manufacturing,https://www.bondmfg.com
book-of-the-month,Book Subscription Box,Book of the Month,https://www.bookofthemonth.com
bookoff-usa,Movies & TV,BookOff USA,https://www.bookoffusa.com
books-are-magic,Independent Bookstore,Books Are Magic,https://www.booksaremagic.net
books-of-wonder,Children's Bookstore,Books of Wonder,https://booksofwonder.com
boomkat,Independent Record Store - UK/EU,Boomkat,https://www.boomkat.com
boon,Baby/Infant,Boon,https://www.booninc.com
bosch,Refrigerators,Bosch,https://www.bosch-home.com/us
boss-fight-studio,Action Figures,Boss Fight Studio,https://bossfightstudio.com
boulies,Gaming Chairs,Boulies,https://www.boulies.com
branch-basics,Cleaning Supplies,Branch Basics,https://branchbasics.com
branch-furniture,Desks,Branch Furniture,https://www.branchfurniture.com
branch-furniture-chairs,Office Chairs,Branch Furniture (Chairs),https://www.branchfurniture.com/collections/office-chairs
breeo,Grills/BBQ,Breeo,https://breeo.co
breville,Smart Home & Appliances,Breville,https://www.breville.com
breville-microwav-2,Microwaves/Toaster Ovens,Breville,https://www.breville.com
bright-starts,Baby/Infant,Bright Starts,https://www.brightstarts.com
bright-stripes,Arts & Crafts,Bright Stripes,https://brightstripes.co
brine,Team Sports,Brine,https://www.brine.com
briogeo,Haircare,Briogeo,https://briogeohair.com
brita,Water Filtration/Dispensers,Brita,https://www.brita.com
bromic-heating,Fire pits/outdoor heaters,Bromic Heating,https://www.bromic.com
brooklinen,Bedding,Brooklinen,https://www.brooklinen.com
brooks,Running,Brooks,https://www.brooksrunning.com
brown-jordan,Outdoor furniture,Brown Jordan,https://www.brownjordan.com
bubble,Skincare,Bubble,https://hellobubble.com
buffet-crampon,Wind Instruments,Buffet Crampon,https://www.buffet-crampon.com
buffy,Bedding,Buffy,https://buffy.co
bull-moose,Movies & TV,Bull Moose,https://www.bullmoose.com
bull-moose-independ-2,Independent Record Store - US,Bull Moose,https://www.bullmoose.com
bullard,Industrial Safety & PPE,Bullard,https://www.bullard.com
bullstrap,Cell Phones & Accessories,Bullstrap,https://www.bullstrap.com
burga,Cell Phones & Accessories,Burga,https://www.burga.com
burgon-and-ball,Garden tools,Burgon & Ball,https://www.burgonandball.com
burn-shop,Grills/BBQ,Burn Shop,https://theburnshopwf.com
burpee,Seeds/plants nurseries,Burpee,https://www.burpee.com
burrow,Furniture,Burrow,https://burrow.com
burrow-outdoor--2,Outdoor furniture,Burrow,https://burrow.com
burst,Oral Care,Burst,https://burstoralcare.com
burst-oral-care,Oral Care,Burst Oral Care,https://www.burstoralcare.com
cabinet-health,OTC/Wellness,Cabinet Health,https://cabinethealth.com
cable-matters,Cables/Adapters,Cable Matters,https://www.cablematters.com
cablematters,Cell Phones & Accessories,CableMatters,https://www.cablematters.com
calcana,Fire pits/outdoor heaters,Calcana,https://www.calcana.com
caldigit,Cell Phones & Accessories,CalDigit,https://www.caldigit.com
caldigit-docking--2,Docking stations/hubs,CalDigit,https://www.caldigit.com
california-baby,Baby Care,California Baby,https://californiababy.com
camp-chef,Grills/BBQ,Camp Chef,https://www.campchef.com
campania-international,Planters/Pots,Campania International,https://www.campaniainternational.com
cangshan,Kitchen Tools,Cangshan,https://cangshancutlery.com
cannonkeys,Keyboards,CannonKeys,https://cannonkeys.com
canopy,Bath/Shower,Canopy,https://getcanopy.co
canyon,Cycling,Canyon,https://www.canyon.com
caraway,Cookware,Caraway,https://www.carawayhome.com
carbide-3d,CNC / Laser Cutters / Fabrication,Carbide 3D,https://www.carbide3d.com
card-kingdom,Trading Cards,Card Kingdom,https://www.cardkingdom.com
cards-against-humanity,Card Games,Cards Against Humanity,https://www.cardsagainsthumanity.com
cardstock-warehouse,Specialty Paper & Cards,Cardstock Warehouse,https://www.cardstockwarehouse.com
care-of,Vitamins & Supplements,Care/of,https://takecareof.com
carewell,Elderly Care,Carewell,https://carewell.com
carlotta-films,Movies & TV,Carlotta Films,https://laboutique.carlottafilms.com
carolina-biological-supply,Lab Equipment & Supplies,Carolina Biological Supply,https://www.carolina.com
carved,Cell Phones & Accessories,Carved,https://www.carved.com
case-mate,Cell Phones & Accessories,Case-Mate,https://www.case-mate.com
casetify,Cell Phones & Accessories,CASETiFY,https://www.casetify.com
casper,Bedding,Casper,https://casper.com
castle-ink,Printer & Ink,Castle Ink,https://www.castleink.com
caudabe,Cell Phones & Accessories,Caudabe,https://www.caudabe.com
cauldron-films,Movies & TV,Cauldron Films,https://www.cauldron-films.com
cayl,Outdoor Apparel,Cayl,https://www.cayl.co.kr
cdjapan,Import Shop,CDJapan,https://www.cdjapan.co.jp
cdjapan-movies-a-2,Movies & TV,CDJapan,https://www.cdjapan.co.jp
century-media,Record Label with Shop,Century Media,https://www.centurymedia.store
cephalofair-games,Board Games,Cephalofair Games,https://cephalofair.com
cge-czech-games-edition,Board Games,CGE (Czech Games Edition),https://czechgames.com
champion-tool-storage,Workbench & Tool Storage,Champion Tool Storage,https://www.championbuilt.com
chaosium,Tabletop RPG,Chaosium,https://www.chaosium.com
chesky-records,Audiophile/Hi-Res Label,Chesky Records,https://www.chesky.com
chicago-brick-oven,Pizza ovens,Chicago Brick Oven,https://chicagobrickoven.com
chilewich,Outdoor rugs/textiles,Chilewich,https://www.chilewich.com
chirp,Audiobook DTC,Chirp,https://www.chirpbooks.com
ciele-athletics,Running,Ciele Athletics,https://cieleathletics.com
citizen-vinyl,Vinyl Pressing Plant,Citizen Vinyl,https://www.citizenvinyl.com
city-lights,Independent Bookstore,City Lights,https://www.citylights.com
clairefontaine,Notebooks & Journals,Clairefontaine,https://www.clairefontaine.com
classic-game-source,Retro Game Retailer,Classic Game Source,https://classicgamesource.com
clean-cult,Cleaning Supplies,Clean Cult,https://cleancult.com
click-and-grow,Urban gardening,Click and Grow,https://www.clickandgrow.com
clmbr,Fitness & Gym,Clmbr,https://clmbr.com
cloud-paper,Paper Goods,Cloud Paper,https://cloudpaper.co
cloudberries,Puzzles,Cloudberries,https://www.cloudberries.co.uk
clx-gaming,Desktops/PCs/Builders,CLX Gaming,https://www.clxgaming.com
cmon,Board Games,CMON,https://cmon.com
cocokind,Skincare,Cocokind,https://www.cocokind.com
code-and-quill,Notebooks & Journals,Code&Quill,https://www.codeandquill.com
coffee-house-press,Small Press Publisher,Coffee House Press,https://www.coffeehousepress.org
collector-s-cache,Trading Cards,Collector's Cache,https://www.collectorscache.com
collectors-anime,Movies & TV,Collectors Anime,https://www.collectorsanime.com
colored-organics,Baby Clothing,Colored Organics,https://coloredorganics.com
columbia-university-press,Academic/University Press,Columbia University Press,https://cup.columbia.edu
commencal,Cycling,Commencal,https://www.commencal.com
coolstuffinc,Trading Cards,CoolStuffInc,https://www.coolstuffinc.com
copper-canyon-press,Small Press Publisher,Copper Canyon Press,https://www.coppercanyonpress.org
cora,Feminine Care,Cora,https://cora.life
cordoba-music,Ukuleles,Cordoba Music,https://www.cordobaguitars.com
core-meditation,Fitness & Gym,Core Meditation,https://www.hellocore.com
corkcicle,Outdoor Accessories,Corkcicle,https://corkcicle.com
coterie,Baby Care,Coterie,https://coterie.com
cotopaxi,Outdoor Apparel,Cotopaxi,https://www.cotopaxi.com
counter-print,Zine/Art Book Publisher,Counter-Print,https://www.counter-print.co.uk
courant,Cell Phones & Accessories,Courant,https://www.staycourant.com
courant-desk-acc-2,Desk Accessories & Organizers,Courant,https://staycourant.com
cove,Dishwashers,Cove,https://www.subzero-wolf.com/cove
coway,Air Purifiers,Coway,https://cowaymega.com
cowboy,Cycling,Cowboy,https://cowboy.com
coyuchi,Bath,Coyuchi,https://www.coyuchi.com
cozy-earth,Bedding,Cozy Earth,https://cozyearth.com
crane-and-co,Stationery & Paper,Crane & Co.,https://www.crane.com
crave-direct,Cell Phones & Accessories,Crave Direct,https://www.cravedirect.com
crayola,Arts & Crafts,Crayola,https://www.crayola.com
creality,3D Printers & Additive Manufacturing,Creality,https://www.creality.com
creativity-for-kids,Arts & Crafts,Creativity for Kids,https://www.fabercastell.com/pages/creativity-for-kids
crescent-garden,Planters/Pots,Crescent Garden,https://www.crescentgarden.com
crucial,Storage/SSDs,Crucial,https://www.crucial.com
crunchlabs,STEM,CrunchLabs,https://www.crunchlabs.com
crunchyroll-store,Movies & TV,Crunchyroll Store,https://store.crunchyroll.com
cuisinart,Microwaves/Toaster Ovens,Cuisinart,https://www.cuisinart.com
cult-epics,Movies & TV,Cult Epics,https://www.cultepics.com
currentbody,Tools/Devices,CurrentBody,https://www.currentbody.com
cyberpowerpc,Desktops/PCs/Builders,CyberPowerPC,https://www.cyberpowerpc.com
d-addario,Accessories,D'Addario,https://www.daddario.com
dacor,Ranges/Cooktops/Ovens,Dacor,https://www.dacor.com
danby,Dishwashers,Danby,https://www.danby.com
dark-delicacies,Specialty Bookstore,Dark Delicacies,https://www.darkdel.com
dark-horse-direct,Collectibles,Dark Horse Direct,https://www.darkhorsedirect.com
darrington-press,Tabletop RPG,Darrington Press,https://darringtonpress.com
dash-and-albert,Outdoor rugs/textiles,Dash & Albert,https://annieselke.com
davids,Oral Care,Davids,https://davids-usa.com
davies-office,Office Storage & Filing,Davies Office,https://www.daviesoffice.com
day-designer,Planners,Day Designer,https://daydesigner.com
dbrand,Cell Phones & Accessories,dbrand,https://www.dbrand.com
dcbs,Comic Book Store,DCBS,https://www.dcbservice.com
deaf-crocodile,Movies & TV,Deaf Crocodile,https://www.deafcrocodile.com
deathwish-inc,Record Label with Shop,Deathwish Inc,https://www.deathwishinc.com
decent-espresso,Espresso Machines,Decent Espresso,https://decentespresso.com
dedcool,Fragrance,DedCool,https://dedcool.com
dedon,Outdoor furniture,Dedon,https://www.dedon.de
dekor-lighting,Outdoor lighting,Dekor Lighting,https://www.dekorlighting.com
dell,Laptops,Dell,https://www.dell.com
delta-kayaks,Watersports,Delta Kayaks,https://www.deltakayaks.com
denon-dj,DJ Gear,Denon DJ,https://www.denondj.com
design-toscano,Garden decor,Design Toscano,https://www.designtoscano.com
devolver-digital-store,Indie Studio Merch,Devolver Digital Store,https://merch.devolverdigital.com
diabolikdvd,Movies & TV,DiabolikDVD,https://diabolikdvd.com
diaper-dabbler,Baby Care,Diaper Dabbler,https://diaperdabbler.com
dieux,Skincare,Dieux,https://www.dieuxskin.com
digital-storm,Desktops/PCs/Builders,Digital Storm,https://www.digitalstorm.com
dimplex,Fire pits/outdoor heaters,Dimplex,https://www.glendimplexamericas.com
dingbats,Notebooks & Journals,Dingbats*,https://www.dingbats-notebooks.com
dino-lite,Microscopy & Optics,Dino-Lite,https://www.dinolite.us
diptyque,Candles & Scent,Diptyque,https://www.diptyqueparis.com
dirt-devil,Vacuums,Dirt Devil,https://www.dirtdevil.com
dirty-labs,Laundry Products,Dirty Labs,https://dirtylabs.com
discotek-media,Movies & TV,Discotek Media,https://discotekmedia.com
district-vision,Running,District Vision,https://www.districtvision.com
dkoldies,Retro Game Retailer,DKOldies,https://www.dkoldies.com
dollar-shave-club,Men's Grooming,Dollar Shave Club,https://www.dollarshaveclub.com
domino-mart,Record Label with Shop,Domino Mart,https://www.dominomart.com
doorstepink,Printer & Ink,DoorStepInk,https://doorstepink.com
dope-snow,Winter Sports,Dope Snow,https://www.dopesnow.com
dossier,Fragrance,Dossier,https://dossier.co
dough,Monitors,Dough,https://www.dough.tech
douglas,Plush,Douglas,https://douglastoys.com
downpour,Audiobook DTC,Downpour,https://www.downpour.com
dr-strings,Accessories,DR Strings,https://www.drstrings.com
dr-dennis-gross,Skincare,Dr. Dennis Gross,https://drdennisgross.com
dr-dennis-gross-spectralite,Tools/Devices,Dr. Dennis Gross (Spectralite),https://drdennisgross.com
dr-strange-records,Niche Genre Store,Dr. Strange Records,https://www.drstrange.com
dreame,Robotic Cleaners,Dreame,https://www.dreametech.com
dreamfarm,Kitchen Tools,Dreamfarm,https://dreamfarm.com
drift-records,Independent Record Store - UK/EU,Drift Records,https://www.driftrecords.com
drop,Keyboards,Drop,https://drop.com
dropps,Laundry Products,Dropps,https://dropps.com
drunk-elephant,Skincare,Drunk Elephant,https://www.drunkelephant.com
drunkdeer,Keyboards,DrunkDeer,https://drunkdeer.com
dsptch,Cell Phones & Accessories,DSPTCH,https://www.dsptch.com
dubray-books,Independent Bookstore,Dubray Books,https://www.dubraybooks.ie
duck-camp,Hunting & Fishing,Duck Camp,https://duckcamp.com
ducky,Keyboards,Ducky,https://www.duckychannel.com.tw
dungeons-and-dragons,Tabletop RPG,Dungeons & Dragons,https://dnd.wizards.com
dunlop,Accessories,Dunlop,https://www.jimdunlop.com
durston-gear,Camping & Hiking Gear,Durston Gear,https://durstongear.com
dusty-groove,Movies & TV,Dusty Groove,https://www.dustygroove.com
dusty-groove-independ-2,Independent Record Store - US,Dusty Groove,https://www.dustygroove.com
dvd-empire,Movies & TV,DVD Empire,https://www.dvdempire.com
dxracer,Gaming Chairs,DXRacer,https://www.dxracer.com
dyper,Baby Care,Dyper,https://dyper.com
dyson,Vacuums,Dyson,https://www.dyson.com
earth-breeze,Laundry Products,Earth Breeze,https://earthbreeze.com
earth-mama,Baby Care,Earth Mama,https://earthmamaorganics.com
earthstudies,Outdoor Apparel,EarthStudies,https://earth-studies.com
east-fork,Dinnerware,East Fork,https://eastfork.com
eastman-strings,Orchestral,Eastman Strings,https://www.eastmanstrings.com
easy-street-records,Movies & TV,Easy Street Records,https://easystreetonline.com
easy-street-records-independ-2,Independent Record Store - US,Easy Street Records,https://easystreetonline.com
ecm,Espresso Machines,ECM,https://www.ecm.de/en
ecm-records,Record Label with Shop,ECM Records,https://www.ecmrecords.com
eco-by-naty,Baby Care,Eco by Naty,https://naty.com
ecoenclose,Packaging & Shipping Supplies,EcoEnclose,https://www.ecoenclose.com
ecoriginals,Baby Care,Ecoriginals,https://ecoriginals.com.au
ecos,Cleaning Supplies,Ecos,https://ecos.com
ecovacs,Robotic Cleaners,Ecovacs,https://www.ecovacs.com
eden-brothers,Seeds/plants nurseries,Eden Brothers,https://www.edenbrothers.com
edison-pen-co,Pens & Writing,Edison Pen Co.,https://edisonpen.com
edmund-optics,Microscopy & Optics,Edmund Optics,https://www.edmundoptics.com
educational-insights,Educational,Educational Insights,https://www.educationalinsights.com
eero,Networking,Eero,https://eero.com
egg-press,Stationery & Paper,Egg Press,https://eggpress.com
eggtronic,Cell Phones & Accessories,Eggtronic,https://www.eggtronic.com
ego-power-plus,Lawn care equipment/mowers,Ego Power Plus,https://egopowerplus.com
einova,Cell Phones & Accessories,Einova,https://www.einova.com
electric-and-rose,Yoga,Electric & Rose,https://www.electricandrose.com
electric-fetus-independ-2,Independent Record Store - US,Electric Fetus,https://www.electricfetus.com
electrolux,Washers/Dryers,Electrolux,https://www.electrolux.com
elegoo,3D Printers & Additive Manufacturing,Elegoo,https://www.elegoo.com
